Q11_1iMa.awa,Q11_2iMa.lik,Q11_3iMa.fri,Q11_4iMa.des,Q11_5iMa.com,Q11_6iMa.ski,Q11_7iMa.int,Q10_3emo.pFb,Q10_4emo.0Fb,Q10_5emo.nFb,emo.swi
4,5,5,2,3,4,4,5,3,2,3
3,3,4,3,3,3,3,4,3,3,1
5,4,4,4,4,4,4,5,2,1,4
4,3,4,3,3,3,3,3,3,3,0
4,4,4,4,4,4,4,4,3,3,1
4,4,4,4,4,4,4,5,5,5,0
4,4,4,4,3,4,4,5,2,2,3
5,3,5,5,4,5,5,4,3,3,1
5,5,5,5,4,4,4,5,,2,3
3,2,2,2,2,2,1,4,3,2,2
4,4,4,4,4,4,4,4,2,3,1
5,5,5,4,4,4,4,5,3,3,2
4,4,4,3,3,3,4,4,3,2,2
4,3,4,3,3,3,3,4,3,3,1
5,5,3,4,5,5,5,5,3,2,3
4,4,4,4,4,4,4,3,1,1,2
4,4,4,4,4,3,4,5,,2,3
4,3,3,2,2,2,4,4,3,2,2
4,4,4,4,4,4,4,2,2,2,0
4,4,4,3,3,3,4,4,3,3,1
5,5,5,5,5,5,5,5,3,3,2
5,5,5,5,5,5,5,5,1,1,4
4,4,4,4,2,3,3,4,3,2,2
3,3,4,3,2,1,1,5,4,3,2
5,4,4,3,2,4,4,4,3,3,1
4,5,5,5,2,2,2,5,2,4,1
4,3,4,3,2,3,3,5,3,3,2
3,3,3,3,3,3,3,,,,0
5,5,5,5,5,5,5,5,1,2,3
4,4,4,4,3,3,3,4,3,3,1
4,4,4,4,4,4,4,4,3,3,1
2,2,4,4,4,4,4,4,4,4,0
5,4,4,3,3,3,4,4,3,2,2
4,5,5,4,4,4,4,5,2,1,4
3,5,5,3,3,3,3,4,,,4
4,4,4,4,3,4,4,5,3,2,3
4,4,4,4,3,4,4,3,3,3,0
5,4,4,4,4,4,4,4,3,3,1
4,4,4,4,4,4,4,4,2,3,1
4,4,4,4,4,4,4,4,3,2,2
4,4,4,4,4,4,4,3,3,3,0
4,4,4,3,3,5,5,5,3,3,2
5,5,5,3,3,3,3,5,3,,5
4,4,4,3,3,3,3,4,,2,2
4,4,3,3,3,4,4,4,4,4,0
4,4,4,4,4,4,4,4,3,3,1
4,4,4,4,4,4,4,3,3,3,0
3,3,3,3,3,3,3,3,3,3,0
4,3,3,3,3,3,3,5,3,3,2
4,4,4,4,3,4,4,4,3,2,2
4,4,4,4,3,3,3,5,3,3,2
3,5,5,3,3,3,5,3,3,3,0
3,4,4,4,3,3,4,4,3,2,2
4,4,4,4,4,4,4,5,2,2,3
5,5,5,4,4,3,4,5,3,2,3
4,5,4,5,3,4,5,5,3,3,2
3,3,3,3,3,3,3,3,3,3,0
4,4,4,4,4,4,4,,1,1,-1
4,5,5,5,5,5,5,5,2,1,4
3,4,4,3,4,3,3,3,3,1,2
4,4,4,3,3,3,4,5,2,2,3
3,3,3,3,3,3,3,4,2,2,2
3,3,3,3,3,3,3,5,3,3,2
4,4,4,4,4,4,4,3,3,2,1
4,4,4,4,4,4,4,3,3,2,1
4,4,4,4,4,4,4,4,2,2,2
5,4,4,4,4,4,4,4,2,2,2
3,4,4,4,4,4,4,5,2,2,3
5,4,4,3,3,3,4,3,3,2,1
5,5,5,5,5,4,5,5,3,2,3
4,4,4,4,4,4,4,3,3,3,0
3,4,4,3,4,4,4,5,3,3,2
4,4,4,3,3,4,4,5,2,4,1
5,5,5,5,5,5,5,4,2,3,1
4,4,4,3,3,3,3,4,3,2,2
3,4,5,4,4,4,5,4,2,2,2
5,5,4,5,5,4,5,5,3,2,3
3,2,3,2,5,2,3,3,5,4,-1
3,4,4,4,4,4,4,4,,3,1
4,4,4,4,3,3,3,4,3,3,1
3,3,3,3,3,3,3,3,3,3,0
4,3,3,3,3,4,3,4,2,2,2
4,4,4,4,3,3,3,5,,3,2
4,4,4,4,4,4,4,5,2,2,3
5,5,5,5,4,5,5,5,3,,5
4,3,2,3,3,4,3,4,3,2,2
5,5,5,5,4,4,5,5,2,2,3
4,4,4,4,4,4,4,4,3,,4
4,4,5,4,4,4,4,4,3,2,2
3,3,4,3,3,3,3,4,3,3,1
4,4,3,2,2,3,4,4,3,2,2
4,3,3,3,3,3,3,4,2,2,2
5,5,5,5,5,5,5,5,2,2,3
4,4,4,4,4,3,4,3,,,3
4,4,4,4,4,4,3,4,4,3,1
4,4,4,4,4,3,3,5,2,2,3
4,4,4,4,4,4,4,3,3,3,0
5,5,5,4,3,5,5,5,3,4,1
4,4,4,4,4,4,4,5,2,3,2
4,4,4,4,4,4,4,4,3,3,1
3,1,5,3,3,3,3,4,2,3,1
4,4,4,4,4,4,4,5,,2,3
5,5,5,5,3,4,4,4,2,2,2
3,4,4,4,3,3,3,2,3,4,-2
5,5,5,5,5,5,5,4,,,4
4,4,4,4,4,4,4,5,3,2,3
5,3,3,2,2,2,2,5,1,1,4
4,4,4,4,3,3,4,4,2,2,2
4,4,4,3,3,3,4,4,,3,1
4,4,4,4,4,4,4,4,3,3,1
5,5,5,1,5,5,5,3,1,1,2
4,4,4,2,2,4,4,5,3,2,3
4,5,5,5,3,4,3,4,2,2,2
3,3,3,3,3,3,3,4,2,2,2
4,4,4,3,3,4,4,4,3,3,1
4,3,4,2,2,2,2,3,3,3,0
5,5,4,5,5,5,5,3,3,3,0
2,2,2,2,3,3,2,3,3,,3
4,4,4,4,4,4,4,4,3,2,2
4,4,4,4,3,3,4,5,2,3,2
4,5,5,5,5,5,5,4,3,3,1
4,4,4,2,3,4,4,5,3,2,3
3,2,3,3,3,3,4,4,3,3,1
3,3,3,3,3,3,3,4,2,2,2
4,3,4,3,3,4,4,4,4,5,-1
5,4,5,4,3,3,3,4,3,,4
